frame_no,detection_no,class,x,y,width,height,confidence
4,25,person,801.2,76.6,49.5,124.1,0.4174
4,26,person,1092.3,50.7,43.1,105.6,0.2646
4,27,person,572.8,207.7,46.9,90.2,0.3641
4,28,handbag,1473.2,529.6,50.7,61.7,0.4347
5,1,person,674.0,625.7,72.4,186.7,0.8461
5,2,person,1395.9,704.9,114.6,183.8,0.8651
5,3,person,40.7,803.3,104.0,186.3,0.8686
5,4,person,1132.0,926.0,120.0,152.1,0.7990
5,5,person,1139.5,490.8,68.9,140.2,0.7608
5,6,person,756.4,435.4,68.2,162.1,0.7214
5,7,person,1456.9,327.4,66.6,156.9,0.7701
5,8,person,253.8,446.0,70.2,162.9,0.7685
5,9,person,1470.6,484.9,75.8,163.7,0.7594
5,10,person,926.0,181.4,60.3,138.4,0.5853
5,11,person,570.7,274.4,60.2,142.0,0.6681
5,12,person,709.8,226.1,58.4,142.4,0.5481
5,13,person,95.7,136.1,49.9,114.3,0.5101
5,14,person,1794.0,155.1,57.8,130.1,0.4910
5,15,person,346.1,494.5,56.2,146.5,0.5802
5,16,person,385.1,511.6,72.8,160.3,0.5144
5,17,person,1168.6,144.0,44.4,135.0,0.4088
5,18,person,1695.2,158.5,60.7,142.8,0.2996
5,19,person,1841.0,685.5,79.0,159.3,0.5321
5,20,person,1203.0,120.6,49.0,134.4,0.3497
5,21,person,416.2,493.5,98.9,150.4,0.2834
5,22,person,989.4,106.1,51.6,140.1,0.3239
5,23,person,1389.0,55.8,33.4,127.9,0.2605
5,24,person,209.7,33.1,64.2,116.2,0.3690
5,25,person,800.9,75.7,49.6,124.3,0.4117
5,26,person,1092.5,52.5,42.9,105.4,0.2632
5,27,person,573.2,209.7,47.0,90.6,0.4769
5,28,handbag,1473.2,528.7,52.0,63.3,0.4469
5,29,person,895.7,85.4,44.6,126.0,0.2611
6,1,person,675.4,620.3,70.9,182.3,0.8450
6,2,person,1393.2,704.9,114.7,183.7,0.8278
6,3,person,41.3,803.6,103.6,185.6,0.8732
6,4,person,1130.3,919.7,123.1,157.7,0.7882
6,5,person,1139.9,487.7,67.9,137.5,0.7359
6,6,person,756.4,431.6,67.4,160.2,0.7758
6,7,person,1457.9,328.9,66.2,155.7,0.7308
6,8,person,252.8,447.8,69.6,161.2,0.7960
6,9,person,1471.2,486.5,74.9,161.7,0.8183
6,10,person,925.7,183.6,60.3,138.4,0.5807
6,11,person,572.1,277.9,59.1,139.4,0.6760
6,12,person,709.6,224.0,59.1,144.5,0.5929
6,13,person,95.3,134.7,50.3,115.4,0.5568
6,14,person,1794.4,156.0,58.0,130.4,0.3994
6,15,person,346.1,493.9,56.5,146.9,0.6074
6,16,person,384.8,511.4,72.7,160.4,0.5402
6,17,person,1169.1,142.2,44.5,135.8,0.4513
6,18,person,1696.6,160.8,60.1,141.7,0.3244
6,19,person,1833.9,671.1,86.1,187.2,0.7113
6,20,person,1203.0,118.6,49.6,136.0,0.3379
6,21,person,415.7,491.3,99.7,152.2,0.2603
6,22,person,988.5,107.8,52.2,141.5,0.3187
6,23,person,1388.5,53.1,34.1,130.4,0.2622
6,24,person,211.4,31.5,64.0,117.2,0.3313
6,25,person,801.1,74.2,50.2,125.5,0.4352
6,26,person,1092.9,53.8,43.1,106.0,0.2673
6,27,person,573.3,210.6,47.2,91.0,0.5014
6,28,handbag,1473.9,528.9,52.2,63.4,0.4805
6,29,person,848.3,66.8,43.4,127.5,0.3354
6,30,person,896.1,84.3,44.5,126.7,0.2775
6,31,frisbee,1730.9,513.0,44.8,22.2,0.2716
7,1,person,676.0,615.6,71.1,182.4,0.8383
7,2,person,1392.4,705.6,114.1,182.7,0.8053
7,3,person,41.8,804.5,103.0,184.5,0.8714
7,4,person,1128.1,913.3,127.7,165.8,0.7971
7,5,person,1139.9,484.3,67.7,136.4,0.7207
7,6,person,756.2,428.7,66.3,158.2,0.7972
7,7,person,1459.1,332.0,67.1,157.4,0.7000
7,8,person,251.9,451.1,70.1,162.0,0.7985
7,9,person,1472.7,488.6,74.3,160.1,0.7825
