frame_no,detection_no,class,x,y,width,height,confidence
60,2,cell phone,131.7,222.3,161.2,151.2,0.8746
61,1,person,49.9,147.1,473.8,332.6,0.8628
61,2,cell phone,116.1,220.8,168.4,158.4,0.7469
62,1,person,47.3,147.2,474.5,332.5,0.8854
62,2,cell phone,109.4,219.9,172.1,162.7,0.8368
63,1,person,45.6,147.0,476.0,332.8,0.8467
63,2,cell phone,106.9,219.9,172.6,163.8,0.8562
64,1,person,45.8,147.0,476.6,332.7,0.8838
64,2,cell phone,106.1,220.8,171.8,163.4,0.8294
65,1,person,45.7,147.0,477.3,332.7,0.8838
65,2,cell phone,106.0,221.2,171.3,163.2,0.8294
66,1,person,45.9,146.7,478.1,333.1,0.8364
66,2,cell phone,104.3,221.8,170.5,163.2,0.7416
67,1,person,47.0,146.8,478.1,333.0,0.8780
67,2,cell phone,103.4,222.4,169.7,162.9,0.7727
68,1,person,48.6,146.4,478.2,333.4,0.9004
68,2,cell phone,117.4,231.3,165.2,158.1,0.7864
69,1,person,49.0,146.1,478.4,333.6,0.8444
69,2,cell phone,125.5,240.2,163.0,154.3,0.7639
70,1,person,60.9,146.5,475.9,333.4,0.6635
70,2,cell phone,131.2,253.3,169.9,159.3,0.6900
71,1,person,74.0,146.6,471.5,333.2,0.7698
71,2,cell phone,133.0,259.6,175.9,164.1,0.5696
72,1,person,80.0,146.8,467.6,333.0,0.8146
72,2,cell phone,135.4,264.7,177.8,165.0,0.4204
73,1,person,91.6,147.3,461.8,332.6,0.5401
73,2,cell phone,146.2,280.9,181.9,168.5,0.7073
74,1,person,99.9,148.1,455.7,331.8,0.6127
74,2,cell phone,152.3,290.2,187.4,174.1,0.7547
75,1,person,96.8,147.9,452.2,332.0,0.8336
75,2,cell phone,165.5,305.8,183.8,170.9,0.5467
76,1,person,99.0,147.7,447.7,332.1,0.8234
76,2,cell phone,174.3,311.5,180.3,168.0,0.5328
77,1,person,93.9,146.8,446.1,332.9,0.8279
77,2,cell phone,176.0,311.8,178.1,166.7,0.4826
78,1,person,97.0,146.3,443.1,333.5,0.8136
78,2,cell phone,176.6,311.5,178.7,168.5,0.4073
79,1,person,108.8,146.7,437.3,333.2,0.9261
80,1,person,116.2,146.4,431.6,333.5,0.9434
80,2,cup,187.9,304.1,165.5,160.0,0.5929
81,1,person,123.1,146.6,426.0,333.2,0.9237
82,1,person,129.7,146.6,419.7,333.1,0.9097
82,2,cell phone,203.7,295.4,150.4,150.0,0.7540
83,1,person,135.0,146.6,414.1,333.1,0.9179
83,2,cell phone,209.9,290.3,142.7,146.2,0.6972
84,1,person,138.5,146.1,409.2,333.8,0.8994
84,2,cell phone,216.1,287.0,137.1,143.7,0.6289
84,3,chair,3.2,328.9,188.1,151.0,0.3877
85,1,person,140.6,145.8,404.7,334.2,0.8881
85,2,cell phone,218.2,285.7,136.4,146.1,0.6339
85,3,chair,2.6,329.5,187.5,150.4,0.4090
86,1,person,140.4,145.7,400.9,334.3,0.9061
86,2,cell phone,221.5,284.8,134.3,146.7,0.6462
86,3,chair,29.9,329.1,185.6,150.4,0.3501
87,1,person,143.7,145.8,396.8,334.2,0.8979
87,2,cell phone,223.4,284.7,131.8,146.6,0.6957
87,3,chair,39.3,329.0,183.4,150.5,0.3387
88,1,person,143.6,146.0,393.4,333.9,0.9023
88,2,cell phone,224.6,284.7,130.2,147.3,0.7945
88,3,chair,41.7,328.7,181.1,150.7,0.3823
89,1,person,146.3,145.8,389.9,334.0,0.8912
89,2,cell phone,225.8,284.5,128.5,147.5,0.7972
90,1,person,151.7,146.1,386.3,333.8,0.9008
90,2,cell phone,227.4,284.5,126.5,147.0,0.7854
91,1,person,130.5,146.4,388.5,333.6,0.8756
91,2,cell phone,235.5,286.2,120.8,141.5,0.4655
92,1,person,120.5,146.6,391.2,333.3,0.8654
92,2,cell phone,232.2,286.8,120.9,140.8,0.3520
93,1,person,109.6,146.3,395.4,333.7,0.8375
94,1,person,105.8,146.2,398.8,333.8,0.8264
95,1,person,112.4,146.5,399.3,333.4,0.8285
96,1,person,114.4,146.5,400.2,333.4,0.8704
97,1,person,114.7,146.5,401.1,333.5,0.8718
98,1,person,113.6,146.7,402.0,333.3,0.8812
99,1,person,113.5,146.7,402.5,333.3,0.8678
100,1,person,116.8,146.4,402.8,333.6,0.8678
100,2,cell phone,258.2,287.2,119.0,144.2,0.3548
101,1,person,113.7,146.9,403.9,333.1,0.8557
102,1,person,115.4,146.2,404.6,333.8,0.8126
102,2,cup,244.7,282.7,115.1,142.3,0.4248
103,1,person,125.3,145.7,402.8,334.3,0.8117
103,2,wine glass,175.6,285.2,105.2,193.3,0.3681
103,3,cup,240.9,280.6,115.0,144.7,0.4305
104,1,person,128.9,145.8,400.1,334.2,0.7792
104,2,cup,234.5,280.3,116.4,148.3,0.5855
105,1,person,130.1,146.0,398.1,334.0,0.6108
105,2,cup,229.5,280.6,119.0,154.1,0.5610
106,1,person,125.8,145.7,398.1,334.3,0.5644
106,2,cup,225.9,281.2,119.2,156.6,0.6316
106,3,wine glass,169.1,304.6,95.0,174.3,0.3072
107,1,person,119.5,145.7,398.9,334.3,0.6865
107,2,cup,219.8,282.5,119.6,158.8,0.3854
108,1,person,127.5,146.0,396.8,333.8,0.7176
108,2,cup,219.5,283.2,121.4,163.6,0.4435
108,3,wine glass,162.3,306.4,95.2,173.6,0.5867
109,1,person,131.8,145.8,395.2,334.1,0.7952
110,1,person,142.5,146.2,391.1,333.6,0.7010
110,2,cup,224.3,285.5,114.3,155.1,0.3007
111,1,person,126.2,145.8,394.4,334.2,0.6489
111,2,cup,226.0,286.1,120.8,166.3,0.2714
112,1,person,117.6,145.9,397.4,334.1,0.7532
112,2,chair,68.2,328.7,122.6,150.8,0.3165
113,1,person,115.8,145.3,399.3,334.7,0.7100
114,1,person,115.2,145.2,400.8,334.8,0.7627
114,2,cup,231.3,287.0,115.2,159.9,0.3608
114,3,chair,37.4,328.8,124.8,151.1,0.4031
