frame_no,detection_no,class,x,y,width,height,confidence
5,5,person,1395,703,117,183,0.7650
5,6,person,1470,483,79,165,0.7488
5,7,person,755,434,67,155,0.7470
5,8,person,1202,118,53,134,0.7214
5,9,person,252,442,73,164,0.7119
5,10,bird,39,801,104,190,0.6979
5,11,person,214,34,52,117,0.6705
5,12,person,1166,144,46,128,0.6238
5,13,person,1794,154,59,127,0.6211
5,14,person,799,73,42,125,0.6079
5,15,person,1090,50,44,104,0.6060
5,16,person,925,180,55,138,0.5892
5,17,person,711,224,55,144,0.5783
5,18,person,853,68,39,123,0.5307
5,19,person,1619,17,37,110,0.5277
5,20,person,91,128,53,123,0.5228
5,21,person,1675,11,55,129,0.5157
5,22,person,1691,165,68,136,0.5154
5,23,person,359,4,55,128,0.5028
5,24,person,894,90,46,113,0.5009
5,25,person,569,276,62,139,0.4831
5,26,person,983,105,57,140,0.4722
5,27,person,725,0,38,95,0.4587
5,28,person,1299,7,44,99,0.4439
5,29,person,344,492,52,145,0.4417
5,30,person,571,206,48,91,0.4234
5,31,person,1728,82,58,114,0.3897
5,32,person,1583,21,41,100,0.3897
5,33,person,455,509,60,129,0.3214
5,34,person,1853,713,66,140,0.3166
5,35,person,388,501,71,171,0.3024
5,36,person,1388,2,53,180,0.2994
5,37,person,165,0,28,46,0.2906
5,38,person,1898,104,20,96,0.2900
5,39,person,157,0,33,48,0.2506
6,1,person,1140,918,102,161,0.8554
6,2,person,1455,328,71,156,0.8411
6,3,person,673,619,73,178,0.7928
6,4,person,755,430,66,155,0.7365
6,5,person,1396,703,112,183,0.7281
6,6,person,1202,117,52,132,0.7248
6,7,bird,40,803,103,187,0.7143
6,8,person,250,446,76,162,0.7118
6,9,person,1794,154,60,132,0.6204
6,10,person,924,181,58,137,0.5963
6,11,person,799,71,42,125,0.5870
6,12,person,1090,50,44,106,0.5724
6,13,person,215,32,52,114,0.5710
6,14,person,1619,17,38,110,0.5674
6,15,person,1469,489,79,160,0.5599
6,16,person,1675,10,59,131,0.5457
6,17,person,711,223,55,147,0.4983
6,18,person,87,129,56,121,0.4927
6,19,person,1169,143,42,127,0.4899
6,20,person,853,67,39,125,0.4825
6,21,person,353,1,65,130,0.4810
6,22,person,1689,168,73,136,0.4780
6,23,person,896,87,44,116,0.4543
6,24,person,724,0,40,96,0.4476
6,25,person,572,206,49,91,0.4393
6,26,person,1852,705,66,172,0.4306
6,27,person,570,285,62,130,0.4294
6,28,person,1585,20,40,101,0.4210
6,29,person,344,492,55,145,0.4180
6,30,person,1387,1,55,180,0.4032
6,31,person,1137,485,74,137,0.3946
6,32,person,1299,5,45,100,0.3881
6,33,person,1729,83,57,117,0.3564
6,34,person,983,107,57,140,0.3495
6,35,person,452,510,64,128,0.3336
6,36,bird,1137,486,74,138,0.3311
6,37,person,166,0,27,44,0.3310
6,38,person,386,497,71,173,0.3270
